Height ,Weight,DraftOvrl,Age,Name,Team,Season,Playoff,Starter,GS,GP,W,L,OTL,Shots ,Saves ,GAA,Svperc,Assists,PIM,Shutouts,StGA,StSV,StSVperc,StGAA,StMIN,QS,RBS,Pull,QSperc,AdjSVperc,QoC,Gsupp,HDGSAA,SVperc5v5,xSVperc,dSVperc,HDSVperc,GSAA5v5
75,207,19,21,Andrei Vasilevskiy,TBL,2015,1,0,21,24,11,10,0,646,588,2.765,0.91,0,0,1,57,564,0.908,2.808,1218,9,3,2,0.429,0.908,0.082,2.619,4.07,92.54,93.21,-0.67,84.72,-3.14
73,220,0,27,Andrew Hammond,OTT,2015,0,0,21,24,7,11,4,712,651,2.648,0.914,0,2,1,56,609,0.916,2.667,1260,13,1,0,0.619,0.911,0.084,2.429,5.04,94.06,92.42,1.64,81.91,9.14
74,210,0,32,Antti Niemi,DAL,2015,1,2,43,48,25,13,7,1246,1128,2.667,0.905,2,2,3,111,1056,0.905,2.682,2483,20,8,4,0.465,0.907,0.084,2.977,-0.26,92.3,92,0.3,79.81,2.84
72,193,0,26,Antti Raanta,NYR,2015,1,0,18,25,11,6,2,530,487,2.243,0.919,0,0,1,41,456,0.918,2.384,1032,12,4,1,0.667,0.923,0.084,3.111,0.86,92.77,91.47,1.31,80,5.6
79,216,85,29,Ben Bishop,TBL,2015,1,1,60,61,35,21,4,1672,1549,2.059,0.926,1,4,6,122,1532,0.926,2.063,3549,41,4,3,0.683,0.926,0.086,2.867,0.36,92.91,93.06,-0.14,78.92,-1.84
74,181,0,29,Ben Scrivens,MTL,2015,0,0,14,15,5,8,0,447,405,3.066,0.906,0,0,0,42,401,0.905,3.146,801,4,2,1,0.286,0.897,0.085,2.643,-5.58,92.75,92.38,0.38,75.68,1.3
74,217,93,26,Braden Holtby,WSH,2015,1,1,66,66,48,9,7,1802,1661,2.202,0.922,1,6,3,141,1661,0.922,2.2,3845,44,6,6,0.667,0.919,0.085,3.258,-0.2,93.08,92.52,0.55,80.59,7.75
74,209,291,30,Brian Elliott,STL,2015,1,0,38,42,23,8,6,1113,1035,2.068,0.93,0,2,4,74,988,0.93,2.053,2163,26,6,5,0.684,0.931,0.086,2.711,11.27,93.71,92.2,1.51,83.75,12.27
73,200,49,23,Calvin Pickard,COL,2015,0,0,13,20,7,6,1,539,497,2.557,0.922,1,0,1,33,393,0.923,2.605,760,9,1,1,0.692,0.926,0.087,2.769,1.38,92.79,91.95,0.83,80.95,3.47
75,193,0,28,Cam Talbot,EDM,2015,0,1,53,56,21,27,5,1648,1511,2.551,0.917,1,0,3,130,1481,0.919,2.494,3127,26,4,2,0.491,0.917,0.085,2.396,-5.29,92.03,92.65,-0.61,79.65,-7.78
